1.png	grinning face	😀️	\U0001F600\U0000FE0F	U+1F600	grinning face
897.png	right-facing fist: medium skin tone	🤜🏽️	\U0001F91C\U0001F3FD\U0000FE0F	U+1F91C U+1F3FD	right-facing fist: medium skin tone
898.png	right-facing fist: medium-dark skin tone	🤜🏾️	\U0001F91C\U0001F3FE\U0000FE0F	U+1F91C U+1F3FE	right-facing fist: medium-dark skin tone
899.png	right-facing fist: dark skin tone	🤜🏿️	\U0001F91C\U0001F3FF\U0000FE0F	U+1F91C U+1F3FF	right-facing fist: dark skin tone
900.png	clapping hands: light skin tone	👏🏻️	\U0001F44F\U0001F3FB\U0000FE0F	U+1F44F U+1F3FB	clapping hands: light skin tone
901.png	clapping hands: medium-light skin tone	👏🏼️	\U0001F44F\U0001F3FC\U0000FE0F	U+1F44F U+1F3FC	clapping hands: medium-light skin tone
902.png	clapping hands: medium skin tone	👏🏽️	\U0001F44F\U0001F3FD\U0000FE0F	U+1F44F U+1F3FD	clapping hands: medium skin tone
903.png	clapping hands: medium-dark skin tone	👏🏾️	\U0001F44F\U0001F3FE\U0000FE0F	U+1F44F U+1F3FE	clapping hands: medium-dark skin tone
904.png	clapping hands: dark skin tone	👏🏿️	\U0001F44F\U0001F3FF\U0000FE0F	U+1F44F U+1F3FF	clapping hands: dark skin tone
905.png	raising hands: light skin tone	🙌🏻️	\U0001F64C\U0001F3FB\U0000FE0F	U+1F64C U+1F3FB	raising hands: light skin tone
906.png	raising hands: medium-light skin tone	🙌🏼️	\U0001F64C\U0001F3FC\U0000FE0F	U+1F64C U+1F3FC	raising hands: medium-light skin tone
907.png	raising hands: medium skin tone	🙌🏽️	\U0001F64C\U0001F3FD\U0000FE0F	U+1F64C U+1F3FD	raising hands: medium skin tone
908.png	raising hands: medium-dark skin tone	🙌🏾️	\U0001F64C\U0001F3FE\U0000FE0F	U+1F64C U+1F3FE	raising hands: medium-dark skin tone
909.png	raising hands: dark skin tone	🙌🏿️	\U0001F64C\U0001F3FF\U0000FE0F	U+1F64C U+1F3FF	raising hands: dark skin tone
910.png	open hands: light skin tone	👐🏻️	\U0001F450\U0001F3FB\U0000FE0F	U+1F450 U+1F3FB	open hands: light skin tone
911.png	open hands: medium-light skin tone	👐🏼️	\U0001F450\U0001F3FC\U0000FE0F	U+1F450 U+1F3FC	open hands: medium-light skin tone
912.png	open hands: medium skin tone	👐🏽️	\U0001F450\U0001F3FD\U0000FE0F	U+1F450 U+1F3FD	open hands: medium skin tone
913.png	open hands: medium-dark skin tone	👐🏾️	\U0001F450\U0001F3FE\U0000FE0F	U+1F450 U+1F3FE	open hands: medium-dark skin tone
914.png	open hands: dark skin tone	👐🏿️	\U0001F450\U0001F3FF\U0000FE0F	U+1F450 U+1F3FF	open hands: dark skin tone
915.png	palms up together: light skin tone	🤲🏻️	\U0001F932\U0001F3FB\U0000FE0F	U+1F932 U+1F3FB	palms up together: light skin tone
916.png	palms up together: medium-light skin tone	🤲🏼️	\U0001F932\U0001F3FC\U0000FE0F	U+1F932 U+1F3FC	palms up together: medium-light skin tone
917.png	palms up together: medium skin tone	🤲🏽️	\U0001F932\U0001F3FD\U0000FE0F	U+1F932 U+1F3FD	palms up together: medium skin tone
918.png	palms up together: medium-dark skin tone	🤲🏾️	\U0001F932\U0001F3FE\U0000FE0F	U+1F932 U+1F3FE	palms up together: medium-dark skin tone
919.png	palms up together: dark skin tone	🤲🏿️	\U0001F932\U0001F3FF\U0000FE0F	U+1F932 U+1F3FF	palms up together: dark skin tone
920.png	folded hands: light skin tone	🙏🏻️	\U0001F64F\U0001F3FB\U0000FE0F	U+1F64F U+1F3FB	folded hands: light skin tone
921.png	folded hands: medium-light skin tone	🙏🏼️	\U0001F64F\U0001F3FC\U0000FE0F	U+1F64F U+1F3FC	folded hands: medium-light skin tone
922.png	folded hands: medium skin tone	🙏🏽️	\U0001F64F\U0001F3FD\U0000FE0F	U+1F64F U+1F3FD	folded hands: medium skin tone
923.png	folded hands: medium-dark skin tone	🙏🏾️	\U0001F64F\U0001F3FE\U0000FE0F	U+1F64F U+1F3FE	folded hands: medium-dark skin tone
924.png	folded hands: dark skin tone	🙏🏿️	\U0001F64F\U0001F3FF\U0000FE0F	U+1F64F U+1F3FF	folded hands: dark skin tone
925.png	writing hand: light skin tone	✍🏻️	\U0000270D\U0001F3FB\U0000FE0F	U+270D U+1F3FB	writing hand: light skin tone
926.png	writing hand: medium-light skin tone	✍🏼️	\U0000270D\U0001F3FC\U0000FE0F	U+270D U+1F3FC	writing hand: medium-light skin tone
927.png	writing hand: medium skin tone	✍🏽️	\U0000270D\U0001F3FD\U0000FE0F	U+270D U+1F3FD	writing hand: medium skin tone
928.png	writing hand: medium-dark skin tone	✍🏾️	\U0000270D\U0001F3FE\U0000FE0F	U+270D U+1F3FE	writing hand: medium-dark skin tone
929.png	writing hand: dark skin tone	✍🏿️	\U0000270D\U0001F3FF\U0000FE0F	U+270D U+1F3FF	writing hand: dark skin tone
930.png	nail polish: light skin tone	💅🏻️	\U0001F485\U0001F3FB\U0000FE0F	U+1F485 U+1F3FB	nail polish: light skin tone
931.png	nail polish: medium-light skin tone	💅🏼️	\U0001F485\U0001F3FC\U0000FE0F	U+1F485 U+1F3FC	nail polish: medium-light skin tone
932.png	nail polish: medium skin tone	💅🏽️	\U0001F485\U0001F3FD\U0000FE0F	U+1F485 U+1F3FD	nail polish: medium skin tone
933.png	nail polish: medium-dark skin tone	💅🏾️	\U0001F485\U0001F3FE\U0000FE0F	U+1F485 U+1F3FE	nail polish: medium-dark skin tone
934.png	nail polish: dark skin tone	💅🏿️	\U0001F485\U0001F3FF\U0000FE0F	U+1F485 U+1F3FF	nail polish: dark skin tone
935.png	selfie: light skin tone	🤳🏻️	\U0001F933\U0001F3FB\U0000FE0F	U+1F933 U+1F3FB	selfie: light skin tone
936.png	selfie: medium-light skin tone	🤳🏼️	\U0001F933\U0001F3FC\U0000FE0F	U+1F933 U+1F3FC	selfie: medium-light skin tone
937.png	selfie: medium skin tone	🤳🏽️	\U0001F933\U0001F3FD\U0000FE0F	U+1F933 U+1F3FD	selfie: medium skin tone
938.png	selfie: medium-dark skin tone	🤳🏾️	\U0001F933\U0001F3FE\U0000FE0F	U+1F933 U+1F3FE	selfie: medium-dark skin tone
939.png	selfie: dark skin tone	🤳🏿️	\U0001F933\U0001F3FF\U0000FE0F	U+1F933 U+1F3FF	selfie: dark skin tone
940.png	flexed biceps: light skin tone	💪🏻️	\U0001F4AA\U0001F3FB\U0000FE0F	U+1F4AA U+1F3FB	flexed biceps: light skin tone
941.png	flexed biceps: medium-light skin tone	💪🏼️	\U0001F4AA\U0001F3FC\U0000FE0F	U+1F4AA U+1F3FC	flexed biceps: medium-light skin tone
942.png	flexed biceps: medium skin tone	💪🏽️	\U0001F4AA\U0001F3FD\U0000FE0F	U+1F4AA U+1F3FD	flexed biceps: medium skin tone
943.png	flexed biceps: medium-dark skin tone	💪🏾️	\U0001F4AA\U0001F3FE\U0000FE0F	U+1F4AA U+1F3FE	flexed biceps: medium-dark skin tone
944.png	flexed biceps: dark skin tone	💪🏿️	\U0001F4AA\U0001F3FF\U0000FE0F	U+1F4AA U+1F3FF	flexed biceps: dark skin tone
945.png	leg: light skin tone	🦵🏻️	\U0001F9B5\U0001F3FB\U0000FE0F	U+1F9B5 U+1F3FB	leg: light skin tone
946.png	leg: medium-light skin tone	🦵🏼️	\U0001F9B5\U0001F3FC\U0000FE0F	U+1F9B5 U+1F3FC	leg: medium-light skin tone
947.png	leg: medium skin tone	🦵🏽️	\U0001F9B5\U0001F3FD\U0000FE0F	U+1F9B5 U+1F3FD	leg: medium skin tone
948.png	leg: medium-dark skin tone	🦵🏾️	\U0001F9B5\U0001F3FE\U0000FE0F	U+1F9B5 U+1F3FE	leg: medium-dark skin tone
949.png	leg: dark skin tone	🦵🏿️	\U0001F9B5\U0001F3FF\U0000FE0F	U+1F9B5 U+1F3FF	leg: dark skin tone
950.png	foot: light skin tone	🦶🏻️	\U0001F9B6\U0001F3FB\U0000FE0F	U+1F9B6 U+1F3FB	foot: light skin tone
951.png	foot: medium-light skin tone	🦶🏼️	\U0001F9B6\U0001F3FC\U0000FE0F	U+1F9B6 U+1F3FC	foot: medium-light skin tone
952.png	foot: medium skin tone	🦶🏽️	\U0001F9B6\U0001F3FD\U0000FE0F	U+1F9B6 U+1F3FD	foot: medium skin tone
953.png	foot: medium-dark skin tone	🦶🏾️	\U0001F9B6\U0001F3FE\U0000FE0F	U+1F9B6 U+1F3FE	foot: medium-dark skin tone
954.png	foot: dark skin tone	🦶🏿️	\U0001F9B6\U0001F3FF\U0000FE0F	U+1F9B6 U+1F3FF	foot: dark skin tone
955.png	ear: light skin tone	👂🏻️	\U0001F442\U0001F3FB\U0000FE0F	U+1F442 U+1F3FB	ear: light skin tone
956.png	ear: medium-light skin tone	👂🏼️	\U0001F442\U0001F3FC\U0000FE0F	U+1F442 U+1F3FC	ear: medium-light skin tone
957.png	ear: medium skin tone	👂🏽️	\U0001F442\U0001F3FD\U0000FE0F	U+1F442 U+1F3FD	ear: medium skin tone
958.png	ear: medium-dark skin tone	👂🏾️	\U0001F442\U0001F3FE\U0000FE0F	U+1F442 U+1F3FE	ear: medium-dark skin tone
959.png	ear: dark skin tone	👂🏿️	\U0001F442\U0001F3FF\U0000FE0F	U+1F442 U+1F3FF	ear: dark skin tone
960.png	ear with hearing aid: light skin tone	🦻🏻️	\U0001F9BB\U0001F3FB\U0000FE0F	U+1F9BB U+1F3FB	ear with hearing aid: light skin tone
961.png	ear with hearing aid: medium-light skin tone	🦻🏼️	\U0001F9BB\U0001F3FC\U0000FE0F	U+1F9BB U+1F3FC	ear with hearing aid: medium-light skin tone
962.png	ear with hearing aid: medium skin tone	🦻🏽️	\U0001F9BB\U0001F3FD\U0000FE0F	U+1F9BB U+1F3FD	ear with hearing aid: medium skin tone
963.png	ear with hearing aid: medium-dark skin tone	🦻🏾️	\U0001F9BB\U0001F3FE\U0000FE0F	U+1F9BB U+1F3FE	ear with hearing aid: medium-dark skin tone
964.png	ear with hearing aid: dark skin tone	🦻🏿️	\U0001F9BB\U0001F3FF\U0000FE0F	U+1F9BB U+1F3FF	ear with hearing aid: dark skin tone
965.png	nose: light skin tone	👃🏻️	\U0001F443\U0001F3FB\U0000FE0F	U+1F443 U+1F3FB	nose: light skin tone
966.png	nose: medium-light skin tone	👃🏼️	\U0001F443\U0001F3FC\U0000FE0F	U+1F443 U+1F3FC	nose: medium-light skin tone
967.png	nose: medium skin tone	👃🏽️	\U0001F443\U0001F3FD\U0000FE0F	U+1F443 U+1F3FD	nose: medium skin tone
968.png	nose: medium-dark skin tone	👃🏾️	\U0001F443\U0001F3FE\U0000FE0F	U+1F443 U+1F3FE	nose: medium-dark skin tone
969.png	nose: dark skin tone	👃🏿️	\U0001F443\U0001F3FF\U0000FE0F	U+1F443 U+1F3FF	nose: dark skin tone
970.png	baby: light skin tone	👶🏻️	\U0001F476\U0001F3FB\U0000FE0F	U+1F476 U+1F3FB	baby: light skin tone
971.png	baby: medium-light skin tone	👶🏼️	\U0001F476\U0001F3FC\U0000FE0F	U+1F476 U+1F3FC	baby: medium-light skin tone
972.png	baby: medium skin tone	👶🏽️	\U0001F476\U0001F3FD\U0000FE0F	U+1F476 U+1F3FD	baby: medium skin tone
973.png	baby: medium-dark skin tone	👶🏾️	\U0001F476\U0001F3FE\U0000FE0F	U+1F476 U+1F3FE	baby: medium-dark skin tone
974.png	baby: dark skin tone	👶🏿️	\U0001F476\U0001F3FF\U0000FE0F	U+1F476 U+1F3FF	baby: dark skin tone
975.png	child: light skin tone	🧒🏻️	\U0001F9D2\U0001F3FB\U0000FE0F	U+1F9D2 U+1F3FB	child: light skin tone
976.png	child: medium-light skin tone	🧒🏼️	\U0001F9D2\U0001F3FC\U0000FE0F	U+1F9D2 U+1F3FC	child: medium-light skin tone
977.png	child: medium skin tone	🧒🏽️	\U0001F9D2\U0001F3FD\U0000FE0F	U+1F9D2 U+1F3FD	child: medium skin tone
978.png	child: medium-dark skin tone	🧒🏾️	\U0001F9D2\U0001F3FE\U0000FE0F	U+1F9D2 U+1F3FE	child: medium-dark skin tone
979.png	child: dark skin tone	🧒🏿️	\U0001F9D2\U0001F3FF\U0000FE0F	U+1F9D2 U+1F3FF	child: dark skin tone
980.png	boy: light skin tone	👦🏻️	\U0001F466\U0001F3FB\U0000FE0F	U+1F466 U+1F3FB	boy: light skin tone
981.png	boy: medium-light skin tone	👦🏼️	\U0001F466\U0001F3FC\U0000FE0F	U+1F466 U+1F3FC	boy: medium-light skin tone
982.png	boy: medium skin tone	👦🏽️	\U0001F466\U0001F3FD\U0000FE0F	U+1F466 U+1F3FD	boy: medium skin tone
983.png	boy: medium-dark skin tone	👦🏾️	\U0001F466\U0001F3FE\U0000FE0F	U+1F466 U+1F3FE	boy: medium-dark skin tone
984.png	boy: dark skin tone	👦🏿️	\U0001F466\U0001F3FF\U0000FE0F	U+1F466 U+1F3FF	boy: dark skin tone
985.png	girl: light skin tone	👧🏻️	\U0001F467\U0001F3FB\U0000FE0F	U+1F467 U+1F3FB	girl: light skin tone
986.png	girl: medium-light skin tone	👧🏼️	\U0001F467\U0001F3FC\U0000FE0F	U+1F467 U+1F3FC	girl: medium-light skin tone
987.png	girl: medium skin tone	👧🏽️	\U0001F467\U0001F3FD\U0000FE0F	U+1F467 U+1F3FD	girl: medium skin tone
988.png	girl: medium-dark skin tone	👧🏾️	\U0001F467\U0001F3FE\U0000FE0F	U+1F467 U+1F3FE	girl: medium-dark skin tone
989.png	girl: dark skin tone	👧🏿️	\U0001F467\U0001F3FF\U0000FE0F	U+1F467 U+1F3FF	girl: dark skin tone
990.png	person: light skin tone	🧑🏻️	\U0001F9D1\U0001F3FB\U0000FE0F	U+1F9D1 U+1F3FB	person: light skin tone
991.png	person: medium-light skin tone	🧑🏼️	\U0001F9D1\U0001F3FC\U0000FE0F	U+1F9D1 U+1F3FC	person: medium-light skin tone
992.png	person: medium skin tone	🧑🏽️	\U0001F9D1\U0001F3FD\U0000FE0F	U+1F9D1 U+1F3FD	person: medium skin tone
993.png	person: medium-dark skin tone	🧑🏾️	\U0001F9D1\U0001F3FE\U0000FE0F	U+1F9D1 U+1F3FE	person: medium-dark skin tone
994.png	person: dark skin tone	🧑🏿️	\U0001F9D1\U0001F3FF\U0000FE0F	U+1F9D1 U+1F3FF	person: dark skin tone
995.png	person: light skin tone blond hair	👱🏻️	\U0001F471\U0001F3FB\U0000FE0F	U+1F471 U+1F3FB	person: light skin tone, blond hair
996.png	person: medium-light skin tone blond hair	👱🏼️	\U0001F471\U0001F3FC\U0000FE0F	U+1F471 U+1F3FC	person: medium-light skin tone, blond hair
997.png	person: medium skin tone blond hair	👱🏽️	\U0001F471\U0001F3FD\U0000FE0F	U+1F471 U+1F3FD	person: medium skin tone, blond hair
998.png	person: medium-dark skin tone blond hair	👱🏾️	\U0001F471\U0001F3FE\U0000FE0F	U+1F471 U+1F3FE	person: medium-dark skin tone, blond hair
999.png	person: dark skin tone blond hair	👱🏿️	\U0001F471\U0001F3FF\U0000FE0F	U+1F471 U+1F3FF	person: dark skin tone, blond hair
1000.png	man: light skin tone	👨🏻️	\U0001F468\U0001F3FB\U0000FE0F	U+1F468 U+1F3FB	man: light skin tone
1001.png	man: medium-light skin tone	👨🏼️	\U0001F468\U0001F3FC\U0000FE0F	U+1F468 U+1F3FC	man: medium-light skin tone
1002.png	man: medium skin tone	👨🏽️	\U0001F468\U0001F3FD\U0000FE0F	U+1F468 U+1F3FD	man: medium skin tone
1003.png	man: medium-dark skin tone	👨🏾️	\U0001F468\U0001F3FE\U0000FE0F	U+1F468 U+1F3FE	man: medium-dark skin tone
1004.png	man: dark skin tone	👨🏿️	\U0001F468\U0001F3FF\U0000FE0F	U+1F468 U+1F3FF	man: dark skin tone
1005.png	person: light skin tone beard	🧔🏻️	\U0001F9D4\U0001F3FB\U0000FE0F	U+1F9D4 U+1F3FB	person: light skin tone, beard
1006.png	person: medium-light skin tone beard	🧔🏼️	\U0001F9D4\U0001F3FC\U0000FE0F	U+1F9D4 U+1F3FC	person: medium-light skin tone, beard
1007.png	person: medium skin tone beard	🧔🏽️	\U0001F9D4\U0001F3FD\U0000FE0F	U+1F9D4 U+1F3FD	person: medium skin tone, beard
1008.png	person: medium-dark skin tone beard	🧔🏾️	\U0001F9D4\U0001F3FE\U0000FE0F	U+1F9D4 U+1F3FE	person: medium-dark skin tone, beard
1009.png	person: dark skin tone beard	🧔🏿️	\U0001F9D4\U0001F3FF\U0000FE0F	U+1F9D4 U+1F3FF	person: dark skin tone, beard
1010.png	man: light skin tone red hair	👨🏻‍🦰️	\U0001F468\U0001F3FB\U0000200D\U0001F9B0\U0000FE0F	U+1F468 U+1F3FB U+200D U+1F9B0	man: light skin tone, red hair
1011.png	man: medium-light skin tone red hair	👨🏼‍🦰️	\U0001F468\U0001F3FC\U0000200D\U0001F9B0\U0000FE0F	U+1F468 U+1F3FC U+200D U+1F9B0	man: medium-light skin tone, red hair
1012.png	man: medium skin tone red hair	👨🏽‍🦰️	\U0001F468\U0001F3FD\U0000200D\U0001F9B0\U0000FE0F	U+1F468 U+1F3FD U+200D U+1F9B0	man: medium skin tone, red hair
1013.png	man: medium-dark skin tone red hair	👨🏾‍🦰️	\U0001F468\U0001F3FE\U0000200D\U0001F9B0\U0000FE0F	U+1F468 U+1F3FE U+200D U+1F9B0	man: medium-dark skin tone, red hair
1014.png	man: dark skin tone red hair	👨🏿‍🦰️	\U0001F468\U0001F3FF\U0000200D\U0001F9B0\U0000FE0F	U+1F468 U+1F3FF U+200D U+1F9B0	man: dark skin tone, red hair
1015.png	man: light skin tone curly hair	👨🏻‍🦱️	\U0001F468\U0001F3FB\U0000200D\U0001F9B1\U0000FE0F	U+1F468 U+1F3FB U+200D U+1F9B1	man: light skin tone, curly hair
1016.png	man: medium-light skin tone curly hair	👨🏼‍🦱️	\U0001F468\U0001F3FC\U0000200D\U0001F9B1\U0000FE0F	U+1F468 U+1F3FC U+200D U+1F9B1	man: medium-light skin tone, curly hair
1017.png	man: medium skin tone curly hair	👨🏽‍🦱️	\U0001F468\U0001F3FD\U0000200D\U0001F9B1\U0000FE0F	U+1F468 U+1F3FD U+200D U+1F9B1	man: medium skin tone, curly hair
1018.png	man: medium-dark skin tone curly hair	👨🏾‍🦱️	\U0001F468\U0001F3FE\U0000200D\U0001F9B1\U0000FE0F	U+1F468 U+1F3FE U+200D U+1F9B1	man: medium-dark skin tone, curly hair
1019.png	man: dark skin tone curly hair	👨🏿‍🦱️	\U0001F468\U0001F3FF\U0000200D\U0001F9B1\U0000FE0F	U+1F468 U+1F3FF U+200D U+1F9B1	man: dark skin tone, curly hair
1020.png	man: light skin tone white hair	👨🏻‍🦳️	\U0001F468\U0001F3FB\U0000200D\U0001F9B3\U0000FE0F	U+1F468 U+1F3FB U+200D U+1F9B3	man: light skin tone, white hair
1021.png	man: medium-light skin tone white hair	👨🏼‍🦳️	\U0001F468\U0001F3FC\U0000200D\U0001F9B3\U0000FE0F	U+1F468 U+1F3FC U+200D U+1F9B3	man: medium-light skin tone, white hair
1022.png	man: medium skin tone white hair	👨🏽‍🦳️	\U0001F468\U0001F3FD\U0000200D\U0001F9B3\U0000FE0F	U+1F468 U+1F3FD U+200D U+1F9B3	man: medium skin tone, white hair
1023.png	man: medium-dark skin tone white hair	👨🏾‍🦳️	\U0001F468\U0001F3FE\U0000200D\U0001F9B3\U0000FE0F	U+1F468 U+1F3FE U+200D U+1F9B3	man: medium-dark skin tone, white hair
1024.png	man: dark skin tone white hair	👨🏿‍🦳️	\U0001F468\U0001F3FF\U0000200D\U0001F9B3\U0000FE0F	U+1F468 U+1F3FF U+200D U+1F9B3	man: dark skin tone, white hair
1025.png	man: light skin tone bald	👨🏻‍🦲️	\U0001F468\U0001F3FB\U0000200D\U0001F9B2\U0000FE0F	U+1F468 U+1F3FB U+200D U+1F9B2	man: light skin tone, bald
1026.png	man: medium-light skin tone bald	👨🏼‍🦲️	\U0001F468\U0001F3FC\U0000200D\U0001F9B2\U0000FE0F	U+1F468 U+1F3FC U+200D U+1F9B2	man: medium-light skin tone, bald
1027.png	man: medium skin tone bald	👨🏽‍🦲️	\U0001F468\U0001F3FD\U0000200D\U0001F9B2\U0000FE0F	U+1F468 U+1F3FD U+200D U+1F9B2	man: medium skin tone, bald
1028.png	man: medium-dark skin tone bald	👨🏾‍🦲️	\U0001F468\U0001F3FE\U0000200D\U0001F9B2\U0000FE0F	U+1F468 U+1F3FE U+200D U+1F9B2	man: medium-dark skin tone, bald
1029.png	man: dark skin tone bald	👨🏿‍🦲️	\U0001F468\U0001F3FF\U0000200D\U0001F9B2\U0000FE0F	U+1F468 U+1F3FF U+200D U+1F9B2	man: dark skin tone, bald
1030.png	woman: light skin tone	👩🏻️	\U0001F469\U0001F3FB\U0000FE0F	U+1F469 U+1F3FB	woman: light skin tone
1031.png	woman: medium-light skin tone	👩🏼️	\U0001F469\U0001F3FC\U0000FE0F	U+1F469 U+1F3FC	woman: medium-light skin tone
1032.png	woman: medium skin tone	👩🏽️	\U0001F469\U0001F3FD\U0000FE0F	U+1F469 U+1F3FD	woman: medium skin tone
1033.png	woman: medium-dark skin tone	👩🏾️	\U0001F469\U0001F3FE\U0000FE0F	U+1F469 U+1F3FE	woman: medium-dark skin tone
1034.png	woman: dark skin tone	👩🏿️	\U0001F469\U0001F3FF\U0000FE0F	U+1F469 U+1F3FF	woman: dark skin tone
1035.png	woman: light skin tone red hair	👩🏻‍🦰️	\U0001F469\U0001F3FB\U0000200D\U0001F9B0\U0000FE0F	U+1F469 U+1F3FB U+200D U+1F9B0	woman: light skin tone, red hair
1036.png	woman: medium-light skin tone red hair	👩🏼‍🦰️	\U0001F469\U0001F3FC\U0000200D\U0001F9B0\U0000FE0F	U+1F469 U+1F3FC U+200D U+1F9B0	woman: medium-light skin tone, red hair
1037.png	woman: medium skin tone red hair	👩🏽‍🦰️	\U0001F469\U0001F3FD\U0000200D\U0001F9B0\U0000FE0F	U+1F469 U+1F3FD U+200D U+1F9B0	woman: medium skin tone, red hair
1038.png	woman: medium-dark skin tone red hair	👩🏾‍🦰️	\U0001F469\U0001F3FE\U0000200D\U0001F9B0\U0000FE0F	U+1F469 U+1F3FE U+200D U+1F9B0	woman: medium-dark skin tone, red hair
1039.png	woman: dark skin tone red hair	👩🏿‍🦰️	\U0001F469\U0001F3FF\U0000200D\U0001F9B0\U0000FE0F	U+1F469 U+1F3FF U+200D U+1F9B0	woman: dark skin tone, red hair
1040.png	person: light skin tone red hair	🧑🏻‍🦰️	\U0001F9D1\U0001F3FB\U0000200D\U0001F9B0\U0000FE0F	U+1F9D1 U+1F3FB U+200D U+1F9B0	person: light skin tone, red hair
1041.png	person: medium-light skin tone red hair	🧑🏼‍🦰️	\U0001F9D1\U0001F3FC\U0000200D\U0001F9B0\U0000FE0F	U+1F9D1 U+1F3FC U+200D U+1F9B0	person: medium-light skin tone, red hair
1042.png	person: medium skin tone red hair	🧑🏽‍🦰️	\U0001F9D1\U0001F3FD\U0000200D\U0001F9B0\U0000FE0F	U+1F9D1 U+1F3FD U+200D U+1F9B0	person: medium skin tone, red hair
1043.png	person: medium-dark skin tone red hair	🧑🏾‍🦰️	\U0001F9D1\U0001F3FE\U0000200D\U0001F9B0\U0000FE0F	U+1F9D1 U+1F3FE U+200D U+1F9B0	person: medium-dark skin tone, red hair
1044.png	person: dark skin tone red hair	🧑🏿‍🦰️	\U0001F9D1\U0001F3FF\U0000200D\U0001F9B0\U0000FE0F	U+1F9D1 U+1F3FF U+200D U+1F9B0	person: dark skin tone, red hair
1045.png	woman: light skin tone curly hair	👩🏻‍🦱️	\U0001F469\U0001F3FB\U0000200D\U0001F9B1\U0000FE0F	U+1F469 U+1F3FB U+200D U+1F9B1	woman: light skin tone, curly hair
1046.png	woman: medium-light skin tone curly hair	👩🏼‍🦱️	\U0001F469\U0001F3FC\U0000200D\U0001F9B1\U0000FE0F	U+1F469 U+1F3FC U+200D U+1F9B1	woman: medium-light skin tone, curly hair
1047.png	woman: medium skin tone curly hair	👩🏽‍🦱️	\U0001F469\U0001F3FD\U0000200D\U0001F9B1\U0000FE0F	U+1F469 U+1F3FD U+200D U+1F9B1	woman: medium skin tone, curly hair
1048.png	woman: medium-dark skin tone curly hair	👩🏾‍🦱️	\U0001F469\U0001F3FE\U0000200D\U0001F9B1\U0000FE0F	U+1F469 U+1F3FE U+200D U+1F9B1	woman: medium-dark skin tone, curly hair
1049.png	woman: dark skin tone curly hair	👩🏿‍🦱️	\U0001F469\U0001F3FF\U0000200D\U0001F9B1\U0000FE0F	U+1F469 U+1F3FF U+200D U+1F9B1	woman: dark skin tone, curly hair
1050.png	person: light skin tone curly hair	🧑🏻‍🦱️	\U0001F9D1\U0001F3FB\U0000200D\U0001F9B1\U0000FE0F	U+1F9D1 U+1F3FB U+200D U+1F9B1	person: light skin tone, curly hair
1051.png	person: medium-light skin tone curly hair	🧑🏼‍🦱️	\U0001F9D1\U0001F3FC\U0000200D\U0001F9B1\U0000FE0F	U+1F9D1 U+1F3FC U+200D U+1F9B1	person: medium-light skin tone, curly hair
1052.png	person: medium skin tone curly hair	🧑🏽‍🦱️	\U0001F9D1\U0001F3FD\U0000200D\U0001F9B1\U0000FE0F	U+1F9D1 U+1F3FD U+200D U+1F9B1	person: medium skin tone, curly hair
